Date,Product,Size,Location,Quantity,Price_per_unit,Total_Sale
2024-02-24,Latte,Small,University,1,3.95,3.95
2024-04-25,Mocha,Medium,Downtown,4,2.8,11.2
2024-03-04,Latte,Medium,Mall,4,2.05,8.2
2024-01-03,Mocha,Small,University,1,4.9,4.9
2024-04-10,Cappuccino,Large,Mall,3,2.75,8.25
2024-02-20,Cappuccino,Medium,Downtown,1,4.03,4.03
2024-01-07,Cappuccino,Large,Downtown,4,4.12,16.48
2024-01-21,Cappuccino,Small,Airport,3,3.83,11.49
2024-03-13,Espresso,Medium,Downtown,2,2.94,5.88
2024-02-08,Cappuccino,Large,Downtown,3,2.81,8.43
2024-01-18,Americano,Medium,University,4,3.79,15.16
2024-01-04,Americano,Small,Airport,3,4.6,13.799999999999999
2024-03-29,Espresso,Large,University,1,4.84,4.84
2024-02-29,Cappuccino,Small,Mall,2,2.32,4.64
2024-01-14,Cappuccino,Small,Downtown,2,2.46,4.92
2024-04-23,Cappuccino,Medium,Mall,2,4.83,9.66
2024-01-09,Mocha,Large,University,4,4.21,16.84
2024-03-30,Latte,Small,Downtown,4,4.65,18.6
2024-02-22,Mocha,Small,Downtown,2,2.61,5.22
2024-01-02,Latte,Large,University,3,3.76,11.28
2024-03-24,Cappuccino,Small,University,2,4.1,8.2
2024-04-01,Cappuccino,Small,University,3,4.04,12.120000000000001
2024-04-20,Mocha,Large,University,3,3.22,9.66
2024-02-29,Mocha,Large,University,4,2.05,8.2
2024-03-11,Latte,Large,Downtown,3,3.75,11.25
2024-02-13,Americano,Large,University,2,2.76,5.52
2024-01-08,Latte,Medium,Downtown,4,3.35,13.4
2024-02-16,Mocha,Large,Downtown,1,4.87,4.87
2024-02-04,Mocha,Medium,University,1,3.2,3.2
2024-03-18,Espresso,Medium,University,4,4.52,18.08
2024-03-21,Mocha,Medium,Airport,2,2.57,5.14
2024-02-05,Espresso,Small,Downtown,1,4.02,4.02
2024-02-19,Americano,Medium,University,1,4.93,4.93
2024-04-13,Latte,Medium,University,3,2.31,6.93
2024-01-04,Latte,Small,University,3,2.02,6.0600000000000005
2024-01-02,Espresso,Small,Airport,2,3.3,6.6
2024-01-06,Latte,Small,Airport,4,2.28,9.12
2024-02-23,Mocha,Large,Mall,2,4.25,8.5
2024-04-15,Cappuccino,Small,Downtown,4,4.74,18.96
2024-01-04,Espresso,Small,Mall,1,3.3,3.3
2024-02-23,Latte,Medium,University,3,2.78,8.34
2024-04-02,Espresso,Small,Airport,2,3.3,6.6
2024-03-03,Espresso,Large,Airport,2,4.17,8.34
2024-01-18,Cappuccino,Small,Mall,4,2.03,8.12
2024-03-30,Mocha,Large,Airport,4,3.77,15.08
2024-02-13,Espresso,Small,University,2,3.84,7.68
2024-02-03,Latte,Small,Airport,4,3.91,15.64
2024-03-14,Americano,Small,Mall,2,2.73,5.46
2024-03-02,Espresso,Small,University,2,4.14,8.28
2024-04-09,Espresso,Large,Mall,2,2.27,4.54
2024-01-14,Cappuccino,Large,Airport,1,2.6,2.6
2024-04-04,Mocha,Medium,Mall,4,4.63,18.52
2024-02-17,Americano,Large,Mall,3,4.22,12.66
2024-01-15,Latte,Small,Downtown,3,2.04,6.12
2024-03-12,Americano,Medium,Airport,4,2.75,11.0
2024-03-18,Latte,Medium,Airport,2,2.64,5.28
2024-03-27,Mocha,Medium,Mall,3,2.81,8.43
2024-03-02,Latte,Small,Downtown,3,2.74,8.22
2024-02-09,Cappuccino,Large,Airport,4,2.19,8.76
2024-03-25,Cappuccino,Small,University,3,3.38,10.14
2024-03-20,Cappuccino,Medium,Mall,2,4.2,8.4
2024-04-18,Cappuccino,Small,Airport,4,3.82,15.28
2024-03-22,Americano,Small,University,2,4.02,8.04
2024-04-20,Mocha,Large,Airport,3,2.24,6.720000000000001
2024-02-22,Latte,Large,University,3,4.85,14.549999999999999
2024-01-24,Latte,Medium,Mall,2,4.52,9.04
2024-01-26,Cappuccino,Small,Airport,1,4.42,4.42
2024-03-29,Cappuccino,Small,Airport,3,4.47,13.41
2024-02-29,Espresso,Large,Downtown,1,4.8,4.8
2024-04-18,Mocha,Small,Mall,3,3.63,10.89
2024-02-10,Americano,Small,University,1,2.6,2.6
2024-01-29,Latte,Small,Airport,1,3.85,3.85
2024-01-15,Espresso,Large,Airport,1,4.23,4.23
2024-02-14,Espresso,Medium,University,2,4.21,8.42
2024-03-05,Latte,Medium,Mall,1,3.56,3.56
2024-03-29,Americano,Small,Downtown,1,2.21,2.21
2024-03-11,Espresso,Medium,Downtown,1,3.11,3.11
2024-01-09,Espresso,Large,Airport,3,4.76,14.28
2024-03-28,Mocha,Large,University,1,3.75,3.75
2024-01-01,Americano,Medium,Airport,3,3.61,10.83
2024-04-17,Espresso,Medium,University,1,2.81,2.81
2024-01-08,Americano,Small,Downtown,1,3.11,3.11
2024-03-28,Latte,Medium,Mall,2,4.69,9.38
2024-03-03,Cappuccino,Small,University,3,4.0,12.0
2024-01-11,Espresso,Small,Downtown,1,4.36,4.36
2024-04-24,Mocha,Large,Airport,3,3.36,10.08
2024-03-21,Latte,Large,University,3,3.89,11.67
2024-01-08,Americano,Large,Mall,4,2.75,11.0
2024-02-04,Latte,Large,Airport,2,4.12,8.24
2024-02-04,Espresso,Medium,Airport,2,3.28,6.56
2024-02-02,Americano,Large,Downtown,2,3.33,6.66
2024-01-05,Cappuccino,Medium,University,4,3.95,15.8
2024-04-15,Latte,Large,Airport,4,4.81,19.24
2024-04-12,Espresso,Medium,Mall,2,2.19,4.38
2024-02-10,Mocha,Small,University,4,4.47,17.88
2024-01-28,Americano,Medium,Mall,4,2.88,11.52
2024-01-07,Latte,Medium,Airport,4,3.33,13.32
2024-03-13,Latte,Large,Mall,2,2.07,4.14
2024-03-12,Cappuccino,Medium,Downtown,2,2.9,5.8
2024-01-12,Cappuccino,Small,Mall,2,3.51,7.02
2024-02-03,Mocha,Small,University,4,2.17,8.68
2024-02-02,Mocha,Large,Mall,2,3.47,6.94
2024-02-17,Espresso,Small,Mall,4,4.78,19.12
2024-04-28,Espresso,Medium,Downtown,1,2.32,2.32
2024-01-23,Mocha,Small,Mall,4,4.29,17.16
2024-03-02,Mocha,Large,Mall,3,3.23,9.69
2024-03-28,Americano,Medium,Airport,2,3.97,7.94
2024-02-06,Cappuccino,Large,Airport,2,2.78,5.56
2024-04-08,Espresso,Medium,University,3,2.48,7.4399999999999995
2024-02-13,Cappuccino,Small,Airport,4,2.48,9.92
2024-04-13,Cappuccino,Large,Airport,1,2.21,2.21
2024-03-26,Mocha,Large,Airport,3,2.56,7.68
2024-03-31,Americano,Medium,Airport,3,3.99,11.97
2024-02-04,Latte,Large,Downtown,4,4.65,18.6
2024-03-05,Americano,Medium,Airport,2,4.44,8.88
2024-04-08,Americano,Medium,Downtown,4,4.06,16.24
2024-04-10,Cappuccino,Medium,Downtown,3,2.33,6.99
2024-02-16,Americano,Medium,Airport,3,2.87,8.61
2024-03-18,Espresso,Small,Mall,2,2.93,5.86
2024-01-03,Cappuccino,Medium,Downtown,2,2.75,5.5
2024-01-01,Espresso,Large,Mall,2,3.55,7.1
2024-01-05,Latte,Small,Mall,4,3.61,14.44
2024-03-30,Cappuccino,Large,Airport,2,3.07,6.14
2024-04-28,Latte,Small,University,3,3.06,9.18
2024-01-14,Cappuccino,Medium,Airport,3,4.49,13.47
2024-04-12,Mocha,Small,University,1,4.37,4.37
2024-01-27,Americano,Small,University,4,2.92,11.68
2024-01-09,Mocha,Large,Airport,1,4.74,4.74
2024-03-19,Latte,Large,Airport,3,4.86,14.580000000000002
2024-01-15,Americano,Medium,University,1,2.98,2.98
2024-03-30,Cappuccino,Small,Airport,3,3.06,9.18
2024-02-11,Americano,Small,University,1,3.52,3.52
2024-03-17,Espresso,Small,Mall,2,4.82,9.64
2024-02-20,Americano,Medium,Airport,1,4.63,4.63
2024-03-03,Espresso,Medium,Mall,2,2.31,4.62
2024-04-05,Americano,Medium,Downtown,2,3.18,6.36
2024-04-12,Espresso,Medium,Mall,4,3.66,14.64
2024-04-22,Latte,Medium,Mall,2,3.51,7.02
2024-02-21,Mocha,Large,University,2,2.58,5.16
2024-04-05,Cappuccino,Small,Mall,1,4.58,4.58
2024-01-04,Americano,Small,Airport,3,4.03,12.09
2024-04-03,Mocha,Small,University,4,4.51,18.04
2024-04-10,Cappuccino,Small,Downtown,2,4.58,9.16
2024-01-23,Cappuccino,Small,Airport,4,4.25,17.0
2024-04-12,Espresso,Small,Downtown,1,3.32,3.32
2024-04-18,Latte,Small,Mall,2,3.83,7.66
2024-01-15,Latte,Small,Airport,1,2.48,2.48
2024-02-12,Mocha,Large,Airport,4,4.02,16.08
2024-01-29,Latte,Small,Downtown,1,2.54,2.54
2024-02-05,Americano,Large,Airport,4,4.08,16.32
2024-01-13,Latte,Medium,Airport,1,2.69,2.69
2024-02-01,Mocha,Small,Airport,4,2.35,9.4
2024-03-11,Latte,Medium,Mall,3,2.5,7.5
2024-02-28,Americano,Medium,Downtown,1,2.01,2.01
2024-04-24,Espresso,Medium,Airport,1,4.16,4.16
2024-03-26,Mocha,Large,University,3,4.2,12.600000000000001
2024-01-28,Espresso,Medium,University,3,3.54,10.620000000000001
2024-03-06,Espresso,Medium,University,1,2.48,2.48
2024-02-11,Espresso,Medium,University,3,2.25,6.75
2024-02-14,Cappuccino,Small,Mall,2,2.06,4.12
2024-03-02,Cappuccino,Small,Airport,4,2.5,10.0
2024-02-26,Espresso,Large,Downtown,4,4.67,18.68
2024-04-26,Mocha,Large,Airport,4,2.72,10.88
2024-01-06,Americano,Small,Mall,2,3.06,6.12
2024-01-28,Americano,Large,University,3,2.32,6.959999999999999
2024-01-28,Latte,Small,Mall,3,2.67,8.01
2024-04-17,Mocha,Medium,Airport,1,3.56,3.56
2024-02-13,Cappuccino,Medium,Downtown,3,3.82,11.459999999999999
2024-03-24,Espresso,Large,Mall,1,2.74,2.74
2024-01-30,Latte,Small,Downtown,2,2.17,4.34
2024-03-02,Americano,Small,Mall,4,3.17,12.68
2024-03-15,Cappuccino,Large,Downtown,4,2.7,10.8
2024-04-28,Cappuccino,Small,Downtown,4,2.66,10.64
2024-04-01,Espresso,Medium,University,3,4.88,14.64
2024-03-29,Americano,Large,Downtown,1,3.85,3.85
2024-04-12,Mocha,Large,University,1,3.67,3.67
2024-03-02,Cappuccino,Small,Airport,2,3.25,6.5
2024-04-06,Espresso,Large,Airport,3,3.29,9.870000000000001
2024-01-01,Mocha,Small,University,2,3.62,7.24
2024-01-27,Americano,Small,University,1,4.09,4.09
2024-03-02,Cappuccino,Small,Mall,1,4.11,4.11
2024-04-25,Mocha,Small,Mall,4,2.52,10.08
2024-03-17,Mocha,Small,Mall,3,3.5,10.5
2024-04-14,Mocha,Large,Airport,1,3.24,3.24
2024-01-03,Cappuccino,Medium,Mall,4,4.61,18.44
2024-04-12,Cappuccino,Medium,Downtown,3,3.89,11.67
2024-03-10,Latte,Large,Downtown,2,3.6,7.2
2024-03-12,Americano,Large,Mall,3,2.35,7.050000000000001
2024-01-27,Espresso,Medium,Downtown,3,3.82,11.459999999999999
2024-01-09,Mocha,Medium,Airport,1,2.35,2.35
2024-03-02,Latte,Medium,Downtown,1,3.01,3.01
2024-02-06,Espresso,Medium,Airport,3,2.43,7.290000000000001
2024-04-06,Latte,Medium,University,1,4.08,4.08
2024-02-20,Cappuccino,Small,University,1,2.62,2.62
2024-04-15,Mocha,Large,University,1,3.18,3.18
2024-02-13,Espresso,Small,University,4,4.69,18.76
2024-01-24,Espresso,Medium,Downtown,4,2.61,10.44
2024-03-19,Espresso,Medium,Mall,3,3.52,10.56
2024-02-28,Espresso,Medium,Downtown,1,3.26,3.26
2024-04-27,Espresso,Small,Airport,4,2.05,8.2
2024-02-01,Latte,Small,Downtown,3,4.38,13.14
2024-04-05,Mocha,Medium,Downtown,1,2.21,2.21
2024-03-28,Cappuccino,Small,Airport,2,3.42,6.84
2024-04-14,Cappuccino,Small,University,1,3.68,3.68
2024-02-21,Cappuccino,Medium,University,1,3.89,3.89
2024-04-22,Cappuccino,Small,University,4,4.07,16.28
2024-03-02,Latte,Large,Mall,3,2.76,8.28
2024-04-22,Americano,Large,Airport,3,2.03,6.09
2024-02-27,Mocha,Large,Airport,4,4.17,16.68
2024-02-21,Espresso,Large,Downtown,1,3.61,3.61
2024-01-12,Americano,Medium,Mall,2,4.51,9.02
2024-02-08,Cappuccino,Medium,University,1,4.46,4.46
2024-01-02,Americano,Medium,Mall,1,4.53,4.53
2024-01-03,Mocha,Large,Airport,2,3.46,6.92
2024-04-22,Espresso,Large,Airport,4,3.0,12.0
2024-04-10,Espresso,Small,Downtown,3,4.37,13.11
2024-04-22,Mocha,Small,Downtown,4,3.35,13.4
2024-02-25,Mocha,Large,Airport,4,2.55,10.2
2024-03-21,Cappuccino,Large,University,1,4.56,4.56
2024-02-28,Espresso,Large,University,3,4.65,13.950000000000001
2024-04-22,Americano,Large,Mall,3,3.4,10.2
2024-01-02,Latte,Small,Airport,4,2.23,8.92
2024-01-02,Latte,Large,Airport,2,3.16,6.32
2024-04-01,Mocha,Small,University,4,4.41,17.64
2024-02-23,Cappuccino,Large,University,2,4.71,9.42
2024-03-27,Latte,Large,Airport,3,2.61,7.83
2024-04-10,Espresso,Large,Downtown,4,2.2,8.8
2024-04-05,Mocha,Small,Airport,1,4.63,4.63
2024-04-06,Americano,Small,Airport,4,3.17,12.68
2024-01-01,Mocha,Medium,University,3,3.63,10.89
2024-01-19,Americano,Large,University,1,4.9,4.9
2024-01-02,Mocha,Medium,Downtown,1,2.2,2.2
2024-02-22,Mocha,Medium,Downtown,2,3.94,7.88
2024-02-13,Mocha,Small,Mall,1,2.22,2.22
2024-03-30,Americano,Small,Airport,1,3.13,3.13
2024-02-01,Americano,Medium,University,4,4.41,17.64
2024-03-10,Mocha,Large,Downtown,3,3.3,9.899999999999999
2024-02-01,Latte,Small,Mall,2,4.99,9.98
2024-04-28,Cappuccino,Large,Mall,4,3.68,14.72
2024-03-08,Cappuccino,Large,University,1,2.96,2.96
2024-02-24,Cappuccino,Medium,University,1,2.66,2.66
2024-03-15,Americano,Medium,Mall,2,3.05,6.1
2024-02-25,Americano,Medium,Downtown,3,3.12,9.36
2024-01-17,Latte,Medium,Mall,2,2.21,4.42
2024-02-07,Cappuccino,Small,Airport,4,3.11,12.44
2024-01-24,Cappuccino,Small,Airport,2,3.39,6.78
2024-03-09,Mocha,Medium,University,1,4.17,4.17
2024-04-25,Americano,Small,Downtown,4,3.97,15.88
2024-04-07,Cappuccino,Medium,Downtown,1,4.13,4.13
2024-03-10,Latte,Large,Airport,3,2.03,6.09
2024-03-26,Latte,Large,Mall,1,2.65,2.65
2024-01-11,Cappuccino,Large,University,1,3.99,3.99
2024-04-21,Americano,Medium,Mall,2,3.45,6.9
2024-01-16,Latte,Large,Mall,1,2.02,2.02
2024-04-06,Mocha,Small,Mall,4,4.41,17.64
2024-03-13,Latte,Large,Downtown,4,4.32,17.28
2024-02-28,Espresso,Large,Airport,3,3.65,10.95
2024-03-10,Espresso,Large,Downtown,4,2.2,8.8
2024-03-20,Americano,Small,Airport,2,4.3,8.6
2024-04-02,Cappuccino,Medium,University,3,3.75,11.25
2024-01-03,Americano,Small,University,4,4.35,17.4
2024-01-20,Americano,Medium,Mall,2,4.26,8.52
2024-02-28,Americano,Medium,Airport,4,4.41,17.64
2024-02-05,Americano,Large,Airport,4,3.55,14.2
2024-01-19,Mocha,Medium,Airport,1,2.42,2.42
2024-03-30,Mocha,Small,Mall,4,4.01,16.04
2024-03-07,Latte,Small,Mall,4,3.86,15.44
2024-01-19,Espresso,Medium,University,2,4.23,8.46
2024-01-20,Americano,Large,Downtown,2,2.51,5.02
2024-04-05,Latte,Large,Airport,1,2.58,2.58
2024-03-11,Espresso,Small,Airport,4,4.67,18.68
2024-02-21,Cappuccino,Large,Downtown,1,4.25,4.25
2024-04-14,Mocha,Medium,Airport,4,4.72,18.88
2024-02-02,Espresso,Medium,Mall,3,4.28,12.84
2024-02-09,Cappuccino,Small,Mall,3,3.79,11.370000000000001
2024-02-08,Espresso,Medium,Airport,1,3.96,3.96
2024-03-22,Mocha,Small,Mall,1,4.67,4.67
2024-04-13,Mocha,Medium,Mall,1,3.74,3.74
2024-01-01,Latte,Small,Airport,2,3.9,7.8
2024-01-11,Americano,Large,University,2,2.47,4.94
2024-04-01,Espresso,Medium,Downtown,2,3.42,6.84
2024-02-26,Espresso,Medium,Mall,1,4.15,4.15
2024-03-29,Cappuccino,Small,University,4,2.81,11.24
2024-02-19,Mocha,Small,Mall,3,2.61,7.83
2024-01-23,Espresso,Medium,Mall,1,2.94,2.94
2024-01-31,Mocha,Small,Downtown,2,2.72,5.44
2024-04-03,Espresso,Medium,Mall,2,2.64,5.28
2024-02-11,Latte,Large,Downtown,1,3.27,3.27
2024-04-08,Americano,Small,Downtown,1,4.72,4.72
2024-01-07,Espresso,Medium,Downtown,2,3.52,7.04
2024-01-16,Mocha,Large,University,4,2.56,10.24
2024-03-30,Latte,Large,Airport,2,2.23,4.46
2024-04-21,Espresso,Medium,University,2,4.09,8.18
2024-04-25,Cappuccino,Small,Airport,1,3.15,3.15
2024-02-29,Americano,Medium,Airport,4,4.47,17.88
2024-04-22,Espresso,Large,Downtown,2,3.98,7.96
2024-01-02,Latte,Medium,Mall,2,4.39,8.78
2024-01-01,Cappuccino,Small,Downtown,3,2.82,8.459999999999999
2024-02-17,Latte,Large,Mall,1,4.08,4.08
2024-01-12,Latte,Medium,Airport,3,2.79,8.370000000000001
2024-03-09,Cappuccino,Small,Downtown,3,4.82,14.46
2024-02-06,Latte,Large,Mall,2,3.91,7.82
2024-02-01,Cappuccino,Small,University,1,2.97,2.97
2024-04-28,Espresso,Large,Mall,4,2.81,11.24
2024-01-09,Cappuccino,Medium,Downtown,2,2.57,5.14
2024-04-14,Cappuccino,Small,University,4,4.08,16.32
2024-04-08,Americano,Large,Mall,4,2.66,10.64
2024-01-19,Cappuccino,Small,Mall,1,3.79,3.79
2024-02-17,Cappuccino,Small,Mall,3,2.79,8.370000000000001
2024-03-20,Espresso,Medium,Mall,1,3.99,3.99
2024-01-03,Americano,Small,Mall,4,4.44,17.76
2024-01-20,Mocha,Large,University,2,4.33,8.66
2024-01-24,Espresso,Large,Airport,4,4.28,17.12
2024-02-23,Espresso,Large,University,2,2.56,5.12
2024-04-29,Mocha,Large,University,2,2.27,4.54
2024-02-02,Cappuccino,Medium,University,1,4.1,4.1
2024-01-24,Latte,Small,Airport,4,3.11,12.44
2024-04-25,Americano,Medium,Downtown,3,3.3,9.899999999999999
2024-03-15,Latte,Small,Airport,4,2.09,8.36
2024-04-22,Mocha,Small,University,4,2.78,11.12
2024-03-12,Espresso,Small,Mall,3,2.1,6.300000000000001
2024-02-05,Espresso,Medium,Mall,1,4.64,4.64
2024-02-07,Americano,Small,University,4,2.73,10.92
2024-04-13,Espresso,Medium,Mall,4,3.67,14.68
2024-03-24,Espresso,Large,University,2,2.12,4.24
2024-04-08,Americano,Large,Mall,4,4.0,16.0
2024-04-21,Americano,Small,Airport,3,2.97,8.91
2024-03-29,Mocha,Medium,Downtown,2,4.69,9.38
2024-04-08,Espresso,Large,Downtown,1,4.66,4.66
2024-01-25,Espresso,Medium,Airport,2,2.98,5.96
2024-04-02,Mocha,Medium,Airport,3,4.7,14.100000000000001
2024-01-18,Cappuccino,Small,University,3,4.99,14.97
2024-04-19,Cappuccino,Large,University,2,4.48,8.96
2024-03-22,Cappuccino,Small,University,1,4.53,4.53
2024-03-06,Mocha,Small,Mall,2,2.75,5.5
2024-02-23,Espresso,Large,University,1,3.73,3.73
2024-02-04,Mocha,Large,Airport,2,2.2,4.4
2024-03-20,Mocha,Medium,Downtown,3,2.28,6.84
2024-03-01,Cappuccino,Large,Mall,4,5.0,20.0
2024-02-10,Latte,Medium,University,4,2.98,11.92
2024-04-09,Espresso,Medium,Mall,1,4.24,4.24
2024-02-02,Cappuccino,Medium,Mall,1,4.42,4.42
2024-03-08,Latte,Large,University,1,4.57,4.57
2024-02-02,Latte,Small,Mall,3,4.99,14.97
2024-01-14,Americano,Medium,Downtown,2,2.72,5.44
2024-01-21,Espresso,Small,Airport,3,2.12,6.36
2024-02-17,Latte,Small,Airport,4,3.23,12.92
2024-01-20,Cappuccino,Large,Downtown,1,2.39,2.39
2024-04-29,Americano,Small,Mall,2,2.07,4.14
2024-01-08,Espresso,Small,University,4,3.08,12.32
2024-01-07,Mocha,Large,Mall,4,4.35,17.4
2024-03-07,Cappuccino,Medium,Downtown,4,3.7,14.8
2024-01-17,Latte,Small,Mall,3,2.94,8.82
2024-02-02,Latte,Large,Airport,1,3.96,3.96
2024-02-17,Cappuccino,Small,Mall,4,2.7,10.8
2024-03-16,Latte,Small,Downtown,1,2.04,2.04
2024-02-28,Americano,Medium,Airport,3,4.29,12.870000000000001
2024-04-24,Espresso,Small,Mall,4,3.87,15.48
2024-03-26,Americano,Large,Mall,3,4.29,12.870000000000001
2024-04-28,Latte,Small,Airport,3,2.12,6.36
2024-01-22,Mocha,Medium,University,1,4.51,4.51
2024-04-19,Espresso,Medium,Airport,4,3.86,15.44
2024-01-30,Espresso,Large,University,3,3.69,11.07
2024-02-07,Cappuccino,Medium,Downtown,4,3.87,15.48
2024-04-11,Cappuccino,Small,Downtown,1,4.59,4.59
2024-04-18,Mocha,Medium,Airport,3,3.76,11.28
2024-02-20,Espresso,Large,Airport,1,3.74,3.74
2024-02-23,Mocha,Medium,Downtown,4,4.97,19.88
2024-01-08,Cappuccino,Medium,University,4,4.27,17.08
2024-01-27,Cappuccino,Medium,Downtown,1,3.33,3.33
2024-01-27,Espresso,Large,Airport,2,4.12,8.24
2024-04-07,Americano,Medium,Downtown,3,3.17,9.51
2024-01-21,Latte,Medium,Airport,4,2.69,10.76
2024-01-30,Cappuccino,Small,Airport,4,3.79,15.16
2024-04-06,Cappuccino,Large,Downtown,3,4.78,14.34
2024-01-28,Americano,Medium,University,1,4.79,4.79
2024-04-20,Americano,Large,Mall,1,3.03,3.03
2024-03-04,Mocha,Medium,Downtown,1,3.58,3.58
2024-04-06,Mocha,Medium,Mall,2,2.63,5.26
2024-03-09,Latte,Medium,Downtown,2,4.99,9.98
2024-03-01,Latte,Small,Mall,4,4.94,19.76
2024-02-17,Espresso,Small,University,1,3.95,3.95
2024-01-19,Mocha,Small,University,3,4.41,13.23
2024-01-04,Cappuccino,Large,Downtown,4,4.15,16.6
2024-02-04,Mocha,Large,Airport,3,3.78,11.34
2024-03-04,Cappuccino,Small,Mall,4,2.16,8.64
2024-02-18,Americano,Large,Airport,2,3.36,6.72
2024-01-17,Mocha,Medium,Airport,4,4.02,16.08
2024-02-13,Americano,Medium,Airport,2,4.03,8.06
2024-04-01,Latte,Medium,University,4,3.12,12.48
2024-01-30,Latte,Small,Downtown,1,4.83,4.83
2024-04-02,Espresso,Large,Downtown,3,2.5,7.5
2024-02-15,Mocha,Small,University,1,3.5,3.5
2024-04-26,Americano,Large,University,4,4.07,16.28
2024-01-06,Cappuccino,Medium,Downtown,4,4.09,16.36
2024-04-08,Latte,Small,Airport,4,3.95,15.8
2024-04-14,Latte,Large,Mall,2,2.83,5.66
2024-02-06,Cappuccino,Large,Mall,3,2.47,7.41
2024-01-24,Americano,Medium,Mall,3,3.91,11.73
2024-04-02,Americano,Small,Airport,4,3.8,15.2
2024-04-22,Mocha,Small,Downtown,4,2.54,10.16
2024-02-15,Mocha,Small,University,2,4.12,8.24
2024-02-22,Espresso,Medium,Downtown,1,3.37,3.37
2024-04-04,Latte,Small,Airport,1,4.0,4.0
2024-04-08,Mocha,Medium,University,3,4.51,13.53
2024-02-29,Americano,Medium,Airport,2,2.51,5.02
2024-04-06,Cappuccino,Medium,Mall,4,2.06,8.24
2024-04-25,Americano,Large,Mall,3,4.34,13.02
2024-03-03,Latte,Small,Airport,2,3.83,7.66
2024-03-25,Americano,Small,University,1,4.1,4.1
2024-02-01,Espresso,Medium,University,2,4.51,9.02
2024-03-27,Latte,Medium,Downtown,1,4.41,4.41
2024-02-02,Cappuccino,Small,Mall,2,4.88,9.76
2024-03-07,Espresso,Medium,Downtown,3,3.61,10.83
2024-01-18,Latte,Small,Downtown,1,3.47,3.47
2024-01-25,Cappuccino,Large,Airport,3,3.21,9.629999999999999
2024-04-15,Espresso,Medium,Airport,3,2.46,7.38
2024-04-04,Espresso,Small,Downtown,1,3.72,3.72
2024-02-23,Latte,Medium,Mall,1,2.83,2.83
2024-02-27,Mocha,Small,Airport,4,4.76,19.04
2024-03-07,Espresso,Small,Downtown,4,3.75,15.0
2024-04-13,Espresso,Medium,Downtown,4,3.78,15.12
2024-02-15,Cappuccino,Large,Downtown,3,3.06,9.18
