Date,Category,Product,Quantity,Price,Region,Customer_ID,Order_ID
2023-10-01,Laptops,Asus ZenBook,3,69990,West,198,1098
2023-10-04,Accessories,Screen Protector,18,490,North,199,1099
2023-10-07,Smartphones,Samsung Galaxy S21,5,54990,East,200,1100
2023-10-10,Audio,Bose Soundbar,3,29990,South,201,1101
2023-10-13,TV,LG OLED 55",4,89990,Center,202,1102
2023-10-16,Laptops,Dell XPS,2,112990,West,203,1103
2023-10-19,Accessories,iPhone Case,10,1200,North,204,1104
2023-10-22,Smartphones,iPhone 13,7,79990,East,205,1105
2023-10-25,Audio,JBL Bluetooth Speaker,8,3490,South,206,1106
2023-10-28,TV,Samsung 4K 50",5,45990,Center,207,1107
2023-10-31,Laptops,HP Pavilion,4,62500,West,208,1108
2023-11-03,Accessories,Wireless Charger,9,1490,North,209,1109
2023-11-06,Smartphones,Google Pixel 6,6,52990,East,210,1110
2023-11-09,Audio,Sony Headphones,9,4990,South,211,1111
2023-11-12,TV,Xiaomi Mi TV,6,32990,Center,212,1112
2023-11-15,Laptops,MacBook Air,3,99990,West,213,1113
2023-11-18,Accessories,Laptop Bag,7,2490,North,214,1114
2023-11-21,Smartphones,Xiaomi Redmi Note 10,10,18990,East,215,1115
2023-11-24,Audio,Apple AirPods,8,12990,South,216,1116
2023-11-27,TV,LG OLED 55",5,89990,Center,217,1117
2023-11-30,Laptops,Lenovo ThinkPad,3,78500,West,218,1118
2023-12-03,Accessories,USB-C Cable,25,590,North,219,1119
2023-12-06,Smartphones,Samsung Galaxy S21,8,54990,East,220,1120
2023-12-09,Audio,Sony WH-1000XM4,5,28990,South,221,1121
2023-12-12,TV,Samsung 4K 50",6,45990,Center,222,1122
2023-12-15,Laptops,Asus ZenBook,4,69990,West,223,1123
2023-12-18,Accessories,Power Bank,12,1990,North,224,1124
2023-12-21,Smartphones,iPhone 13,8,79990,East,225,1125
2023-12-24,Audio,Bose Soundbar,4,29990,South,226,1126
2023-12-27,TV,Xiaomi Mi TV,7,32990,Center,227,1127
2023-12-30,Laptops,Dell XPS,3,112990,West,228,1128
